caseId,question,expectedValue,sourceUrl,sourceLocator,reviewer1,reviewer1Decision,reviewer1Notes,reviewer2,reviewer2Decision,reviewer2Notes,adjudicator,adjudicatedDecision,adjudicationNotes,reviewedAt
ext-019,Fenitrothion 的分子式是什么？,C9H12NO5PS,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-020,Ethylene 的分子式是什么？,C2H4,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/11271640,6451142,86102,3496,2912,5281303,9920327,61021,31200,6325/property/Title,MolecularFormula/JSON",Molecular Formula,,,,,,,,,,
ext-021,Chlorantraniliprole 在 IRAC 作用机制分类中属于哪一组？,28,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,p.12 and alphabetical table,,,,,,,,,,
ext-022,Cypermethrin 在 IRAC 作用机制分类中属于哪一组？,3A,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,p.7 and alphabetical table,,,,,,,,,,
ext-023,Abamectin 在 IRAC 作用机制分类中属于哪一组？,6,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,alphabetical table,,,,,,,,,,
ext-024,Fenitrothion 在 IRAC 作用机制分类中属于哪一组？,1B,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,p.7 and alphabetical table,,,,,,,,,,
ext-025,Azadirachtin 在 IRAC 作用机制分类中属于哪一组？,UN,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,p.13 and alphabetical table,,,,,,,,,,
ext-026,Prothioconazole 在 FRAC 作用机制分类中属于哪一组？,3,https://www.frac.info/docs/default-source/publications/frac-code-list/frac-code-list-2024.pdf,"DMI fungicides, FRAC group 3",,,,,,,,,,
ext-027,Tebuconazole 在 FRAC 作用机制分类中属于哪一组？,3,https://www.frac.info/docs/default-source/publications/frac-code-list/frac-code-list-2024.pdf,"DMI fungicides, FRAC group 3",,,,,,,,,,
ext-028,Glyphosate 在 HRAC/WSSA 作用机制分类中属于哪一组？,9,https://hracglobal.com/files/Global-HRAC-MOA-Classification-Working-Group-Report_June-2020.pdf,classification transition table,,,,,,,,,,
ext-029,Chlorantraniliprole 的主要作用机制是什么？,Ryanodine receptor modulator,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,"IRAC group 28, p.12",,,,,,,,,,
ext-030,Abamectin 的主要作用机制是什么？,Glutamate-gated chloride channel allosteric modulator,https://irac-online.org/content/uploads/IRAC-MoA_brochure_Ed7.2_13June22.pdf,IRAC group 6,,,,,,,,,,
